date,value
2003-01-01,1e3
2003-01-02,1004.74
2003-01-03,1002.24
2003-01-06,994.44
2003-01-07,995.41
2003-01-08,1010.31
2003-01-09,1022.53
2003-01-10,1015.95
2003-01-13,1016.31
2003-01-14,1024
2003-01-15,1030.28
2003-01-16,1037.15
2003-01-17,1035.38
2003-01-20,1035.83
2003-01-21,1042.81
2003-01-22,1040.52
2003-01-23,1031.21
2003-01-24,1004.62
2003-01-27,974.52
2003-01-28,990.55
2003-01-29,988.26
2003-01-30,984.01
2003-01-31,981.41
2003-02-03,997.76
2003-02-04,997.67
2003-02-05,991.1
2003-02-06,998.56
2003-02-07,999.05
2003-02-10,979.71
2003-02-11,974.65
2003-02-12,970.69
2003-02-14,955.56
2003-02-17,984.29
2003-02-18,988.26
2003-02-19,995.07
2003-02-20,994.17
2003-02-21,992.58
2003-02-24,999.16
2003-02-25,988.41
2003-02-26,982.07
2003-02-27,993.89
2003-02-28,992.39
2003-03-03,991.48
2003-03-04,977.47
2003-03-05,969.68
2003-03-06,961.77
2003-03-07,944
2003-03-10,928.45
2003-03-11,933.47
2003-03-12,933.26
2003-03-13,929.75
2003-03-17,918.74
2003-03-19,922.25
2003-03-20,933.43
2003-03-21,938.63
2003-03-22,945.47
2003-03-24,926.39
2003-03-25,920.88
2003-03-26,920.05
2003-03-27,918.63
2003-03-28,918.42
2003-03-31,895.36
2003-04-01,904.33
2003-04-02,920.82
2003-04-03,935.61
2003-04-04,953.66
2003-04-07,976.02
2003-04-08,978.57
2003-04-09,970.2
2003-04-10,937.41
2003-04-11,940.97
2003-04-15,947.87
2003-04-16,949.08
2003-04-17,941
2003-04-21,951.01
2003-04-22,951.31
2003-04-23,947.56
2003-04-24,948.32
2003-04-25,949.28
2003-04-28,957.65
2003-04-29,954.13
2003-04-30,958.66
2003-05-02,983.67
2003-05-05,1009
2003-05-06,1014.21
2003-05-07,1007.25
2003-05-08,1004.88
2003-05-09,1010.06
2003-05-12,1028.78
2003-05-13,1046.56
2003-05-14,1062.6
2003-05-15,1081.49
2003-05-16,1090.11
2003-05-19,1085.4
2003-05-20,1093.76
2003-05-21,1111.45
2003-05-22,1114.03
2003-05-23,1118.35
2003-05-26,1135.83
2003-05-27,1135.44
2003-05-28,1144.62
2003-05-29,1159.94
2003-05-30,1179.04
2003-06-02,1175.49
2003-06-03,1182.03
2003-06-04,1201.73
2003-06-05,1195.15
2003-06-06,1198.88
2003-06-09,1212.39
2003-06-10,1187.82
2003-06-11,1201.78
2003-06-12,1215.23
2003-06-13,1211.71
2003-06-16,1209.37
2003-06-17,1229.03
2003-06-18,1228.77
2003-06-19,1234.69
2003-06-20,1238.77
2003-06-23,1239.93
2003-06-24,1245.08
2003-06-25,1260.92
2003-06-26,1272.61
2003-06-27,1292.54
2003-06-30,1309.87
2003-07-01,1319.89
2003-07-02,1344.13
2003-07-03,1367.78
2003-07-04,1373.87
2003-07-07,1393.23
2003-07-08,1383.31
2003-07-09,1355.06
2003-07-10,1364.8
2003-07-11,1370.23
2003-07-14,1391.31
2003-07-15,1367.44
2003-07-16,1388.62
2003-07-17,1369.4
2003-07-18,1357.71
2003-07-21,1337.8
2003-07-22,1323.67
2003-07-23,1339.57
2003-07-24,1358.25
2003-07-25,1387.71
2003-07-28,1405.54
2003-07-29,1410.71
2003-07-30,1434.21
2003-07-31,1432.29
2003-08-01,1444.7
2003-08-04,1474.81
2003-08-05,1447.55
2003-08-06,1444.09
2003-08-07,1477.35
2003-08-08,1492.78
2003-08-11,1506.79
2003-08-12,1512.64
2003-08-13,1534.32
2003-08-14,1541.09
2003-08-18,1583.23
2003-08-19,1555.93
2003-08-20,1568.13
2003-08-21,1574.19
2003-08-22,1572.56
2003-08-25,1515.14
2003-08-26,1576.57
2003-08-27,1614.14
2003-08-28,1618.63
2003-08-29,1640.13
2003-09-01,1659.26
2003-09-02,1657.76
2003-09-03,1639.03
2003-09-04,1644.99
2003-09-05,1669.29
2003-09-08,1709.29
2003-09-09,1692.36
2003-09-10,1679.32
2003-09-11,1694.78
2003-09-12,1668.2
2003-09-15,1627.48
2003-09-16,1656.2
2003-09-17,1653.11
2003-09-18,1598.52
2003-09-19,1600.51
2003-09-22,1604.38
2003-09-23,1620.34
2003-09-24,1645.39
2003-09-25,1652.25
2003-09-26,1681.69
2003-09-29,1698.27
2003-09-30,1710.11
2003-10-01,1726.38
2003-10-03,1755.42
2003-10-06,1794.31
2003-10-07,1790.88
2003-10-08,1795.07
2003-10-09,1830.02
2003-10-10,1829.44
2003-10-13,1865.44
2003-10-14,1822.39
2003-10-15,1826.14
2003-10-16,1836.42
2003-10-17,1840.76
2003-10-20,1814
2003-10-21,1769.59
2003-10-22,1749.44
2003-10-23,1737.5
2003-10-24,1770.55
2003-10-25,1802.35
2003-10-27,1774.57
2003-10-28,1757.41
2003-10-29,1760.93
2003-10-30,1784.81
2003-10-31,1826.46
2003-11-03,1845.36
2003-11-04,1855.39
2003-11-05,1875.17
2003-11-06,1899.59
2003-11-07,1899.75
2003-11-10,1927.97
2003-11-11,1953.39
2003-11-12,1981.37
2003-11-13,1942.98
2003-11-14,1903.5
2003-11-15,1931.1
2003-11-17,1959.8
2003-11-18,1971.56
2003-11-19,1947.3
2003-11-20,1914.24
2003-11-21,1913.85
2003-11-24,1950.46
2003-11-25,1974.35
2003-11-27,2006.15
2003-11-28,2021.73
2003-12-01,2071.89
2003-12-02,2091.51
2003-12-03,2138.78
2003-12-04,2160.8
2003-12-05,2136.3
2003-12-08,2162.57
2003-12-09,2211.44
2003-12-10,2214.09
2003-12-11,2231.56
2003-12-12,2248.58
2003-12-15,2280.21
2003-12-16,2282.05
2003-12-17,2296.07
2003-12-18,2341.74
2003-12-19,2366.25
2003-12-22,2399.13
2003-12-23,2385.47
2003-12-24,2407.96
2003-12-26,2448.93
2003-12-29,2500.95
2003-12-30,2471.18
2003-12-31,2466.42
2004-01-01,2513.97
2004-01-02,2561.73
2004-01-05,2554.63
2004-01-06,2507.74
2004-01-07,2472.08
2004-01-08,2553.57
2004-01-09,2551.41
2004-01-12,2517.23
2004-01-13,2521.15
2004-01-14,2561.54
2004-01-15,2545.94
2004-01-16,2484.37
2004-01-19,2489.75
2004-01-20,2467.81
2004-01-21,2304.78
2004-01-22,2248
2004-01-23,2351.84
2004-01-27,2425.43
2004-01-28,2385.59
2004-01-29,2378.62
2004-01-30,2318.37
2004-02-03,2195.51
2004-02-04,2248.94
2004-02-05,2252.95
2004-02-06,2267.11
2004-02-09,2323.59
2004-02-10,2332.49
2004-02-11,2345.69
2004-02-12,2375.37
2004-02-13,2402.58
2004-02-16,2427.48
2004-02-17,2419.32
2004-02-18,2418.7
2004-02-19,2360.61
2004-02-20,2348.75
2004-02-23,2302.43
2004-02-24,2295.51
2004-02-25,2269.17
2004-02-26,2260.98
2004-02-27,2271.07
2004-03-01,2306.57
2004-03-03,2317.77
2004-03-04,2303.91
2004-03-05,2324.49
2004-03-08,2358.55
2004-03-09,2342.85
2004-03-10,2328.03
2004-03-11,2300.26
2004-03-12,2294.26
2004-03-15,2232.54
2004-03-16,2195.37
2004-03-17,2215.08
2004-03-18,2184.5
2004-03-19,2188.6
2004-03-22,2112.91
2004-03-23,2087.41
2004-03-24,2090.4
2004-03-25,2123.26
2004-03-26,2168.99
2004-03-29,2201.88
2004-03-30,2214.67
2004-03-31,2241.19
2004-04-01,2314.06
2004-04-02,2338.2
2004-04-05,2368.2
2004-04-06,2343.03
2004-04-07,2336.74
2004-04-08,2359.39
2004-04-12,2385.3
2004-04-13,2415.61
2004-04-15,2440.69
2004-04-16,2451.82
2004-04-17,2473.44
2004-04-19,2446.27
2004-04-20,2430.76
2004-04-21,2478.81
2004-04-22,2500.67
2004-04-23,2512.79
2004-04-27,2386.82
2004-04-28,2391.24
2004-04-29,2411.86
2004-04-30,2401.96
2004-05-03,2349.36
2004-05-04,2416.86
2004-05-05,2436.26
2004-05-06,2490.38
2004-05-07,2461.86
2004-05-10,2426.89
2004-05-11,2314.71
2004-05-12,2325.26
2004-05-13,2330.87
2004-05-14,2115.01
2004-05-17,1859
2004-05-18,2001.03
2004-05-19,2121.75
2004-05-20,2141.14
2004-05-21,2132.16
2004-05-24,2186.59
2004-05-25,2178.08
2004-05-26,2196.41
2004-05-27,2176.34
2004-05-28,2082.47
2004-05-31,1997.64
2004-06-01,2023.69
2004-06-02,2043.81
2004-06-03,2010.76
2004-06-04,2018.86
2004-06-07,2040.26
2004-06-08,2048.06
2004-06-09,2066.4
2004-06-10,2072.41
2004-06-11,2039.6
2004-06-14,1982.7
2004-06-15,1993.79
2004-06-16,1999.88
2004-06-17,1996.05
2004-06-18,1981.57
2004-06-21,1955.17
2004-06-22,1938.98
2004-06-23,1896.53
2004-06-24,1900.37
2004-06-25,1945.96
2004-06-28,1998.65
2004-06-29,2014.99
2004-06-30,2023.05
2004-07-01,2041.19
2004-07-02,2046.43
2004-07-05,2032.03
2004-07-06,2043.2
2004-07-07,2053.55
2004-07-08,2009.87
2004-07-09,2044.29
2004-07-12,2060.29
2004-07-13,2059.95
2004-07-14,2070.89
2004-07-15,2096.2
2004-07-16,2136.21
2004-07-19,2157.77
2004-07-20,2150.21
2004-07-21,2156.43
2004-07-22,2175.3
2004-07-23,2186.97
2004-07-26,2192.78
2004-07-27,2159.63
2004-07-28,2148.22
2004-07-29,2169.48
2004-07-30,2186.56
2004-08-02,2185.76
2004-08-03,2192.61
2004-08-04,2197.18
2004-08-05,2224.88
2004-08-06,2216.16
2004-08-09,2227.05
2004-08-10,2232.16
2004-08-11,2194.78
2004-08-12,2175.11
2004-08-13,2180.08
2004-08-16,2171.84
2004-08-17,2191.75
2004-08-18,2184.2
2004-08-19,2202.21
2004-08-20,2187.66
2004-08-23,2166.35
2004-08-24,2186.09
2004-08-25,2191.21
2004-08-26,2218.95
2004-08-27,2231.79
2004-08-30,2277.7
2004-08-31,2294.52
2004-09-01,2312.34
2004-09-02,2305.88
2004-09-03,2324.88
2004-09-06,2354.91
2004-09-07,2364.31
2004-09-08,2376.73
2004-09-09,2349.57
2004-09-10,2364.49
2004-09-13,2367.57
2004-09-14,2366.3
2004-09-15,2367.38
2004-09-16,2396.47
2004-09-17,2411.71
2004-09-20,2408.35
2004-09-21,2426.28
2004-09-22,2442.6
2004-09-23,2432.56
2004-09-24,2445.66
2004-09-27,2448.97
2004-09-28,2436.81
2004-09-29,2451.26
2004-09-30,2462.88
2004-10-01,2479.62
2004-10-04,2504.52
2004-10-05,2530.29
2004-10-06,2523.94
2004-10-07,2535.54
2004-10-08,2539.19
2004-10-09,2554.21
2004-10-11,2534.84
2004-10-12,2488.84
2004-10-14,2475.12
2004-10-15,2472.71
2004-10-18,2469.04
2004-10-19,2482.37
2004-10-20,2470.11
2004-10-21,2457.53
2004-10-25,2417.9
2004-10-26,2428.21
2004-10-27,2466.05
2004-10-28,2472.44
2004-10-29,2466.42
2004-11-01,2470.89
2004-11-02,2500.68
2004-11-03,2545.9
2004-11-04,2556.94
2004-11-05,2563
2004-11-08,2566.07
2004-11-09,2553.71
2004-11-10,2577.34
2004-11-11,2581.08
