date,value
2002-11-08,1360.04
2002-11-11,1358.22
2002-11-12,1355.11
2002-11-13,1355.13
2002-11-14,1353.22
2002-11-15,1357.7
2002-11-18,1364.16
2002-11-20,1369.62
2002-11-21,1380.63
2002-11-22,1398.38
2002-11-25,1410.11
2002-11-26,1415.85
2002-11-27,1416.21
2002-11-28,1427.25
2002-11-29,1452.86
2002-12-02,1494.78
2002-12-03,1473.96
2002-12-04,1455.59
2002-12-05,1474.67
2002-12-06,1501.88
2002-12-09,1487.81
2002-12-10,1491.01
2002-12-11,1502.81
2002-12-12,1512.31
2002-12-13,1540.39
2002-12-16,1523.53
2002-12-17,1512.27
2002-12-18,1512.14
2002-12-19,1510.07
2002-12-20,1516.55
2002-12-23,1500.36
2002-12-24,1513.92
2002-12-26,1524.88
2002-12-27,1528.91
2002-12-30,1526.86
2002-12-31,1535.73
2003-01-01,1539.31
2003-01-02,1522.47
2003-01-03,1512.04
2003-01-06,1507.5
2003-01-07,1509.42
2003-01-08,1528.75
2003-01-09,1550.8
2003-01-10,1544.24
2003-01-13,1545.92
2003-01-14,1551.2
2003-01-15,1561.75
2003-01-16,1566.62
2003-01-17,1569.23
2003-01-20,1565.82
2003-01-21,1582.08
2003-01-22,1569.5
2003-01-23,1559.27
2003-01-24,1523.97
2003-01-27,1480
2003-01-28,1501.4
2003-01-29,1507.09
2003-01-30,1502.18
2003-01-31,1496.54
2003-02-03,1516.75
2003-02-04,1515.06
2003-02-05,1508.61
2003-02-06,1521.09
2003-02-07,1515.39
2003-02-10,1487.84
2003-02-11,1483.34
2003-02-12,1476.19
2003-02-14,1452.35
2003-02-17,1496.14
2003-02-18,1502.86
2003-02-19,1526.16
2003-02-20,1527.97
2003-02-21,1521.4
2003-02-24,1527.46
2003-02-25,1505.03
2003-02-26,1491.71
2003-02-27,1513.2
2003-02-28,1510.08
2003-03-03,1512.41
2003-03-04,1500.67
2003-03-05,1492.35
2003-03-06,1482.65
2003-03-07,1455.25
2003-03-10,1424.57
2003-03-11,1434.58
2003-03-12,1426.98
2003-03-13,1421.77
2003-03-17,1412.45
2003-03-19,1416.2
2003-03-20,1436.5
2003-03-21,1447.92
2003-03-22,1464.91
2003-03-24,1432.59
2003-03-25,1429.85
2003-03-26,1428.36
2003-03-27,1424.53
2003-03-28,1414.33
2003-03-31,1371.19
2003-04-01,1383.04
2003-04-02,1412.96
2003-04-03,1433.72
2003-04-04,1462.02
2003-04-07,1485.22
2003-04-08,1483.13
2003-04-09,1465.58
2003-04-10,1433.14
2003-04-11,1433.52
2003-04-15,1434.92
2003-04-16,1440.04
2003-04-17,1432.69
2003-04-21,1448.64
2003-04-22,1447.25
2003-04-23,1431.29
2003-04-24,1433.62
2003-04-25,1438.08
2003-04-28,1462.69
2003-04-29,1448.95
2003-04-30,1458.5
2003-05-02,1486.04
2003-05-05,1520.09
2003-05-06,1531.63
2003-05-07,1521.57
2003-05-08,1513.05
2003-05-09,1527.59
2003-05-12,1570.08
2003-05-13,1581.99
2003-05-14,1618
2003-05-15,1637.74
2003-05-16,1631.05
2003-05-19,1618.57
2003-05-20,1641.32
2003-05-21,1679.75
2003-05-22,1702.91
2003-05-23,1722.61
2003-05-26,1755.51
2003-05-27,1736.17
2003-05-28,1782.73
2003-05-29,1819.13
2003-05-30,1817.89
2003-06-02,1761.76
2003-06-03,1790.96
2003-06-04,1808.26
2003-06-05,1796.85
2003-06-06,1791.33
2003-06-09,1830.76
2003-06-10,1775.18
2003-06-11,1806.55
2003-06-12,1820.28
2003-06-13,1812.83
2003-06-16,1794.68
2003-06-17,1833.67
2003-06-18,1832.54
2003-06-19,1870.31
2003-06-20,1889.98
2003-06-23,1897.59
2003-06-24,1905.65
2003-06-25,1926.79
2003-06-26,1924.76
2003-06-27,1939.69
2003-06-30,1958.27
2003-07-01,1983.92
2003-07-02,2016.35
2003-07-03,2053.73
2003-07-04,2054.75
2003-07-07,2090.19
2003-07-08,2077.52
2003-07-09,2048.12
2003-07-10,2081.4
2003-07-11,2097.13
2003-07-14,2137.39
2003-07-15,2123.45
