date,value
2004-01-01,1e3
2004-01-02,1017.13
2004-01-05,1007.38
2004-01-06,986.01
2004-01-07,971.22
2004-01-08,1002.31
2004-01-09,1003.96
2004-01-12,986.97
2004-01-13,992.17
2004-01-14,1004.15
2004-01-15,995.19
2004-01-16,964.47
2004-01-19,963.69
2004-01-20,948.78
2004-01-21,877.35
2004-01-22,849.64
2004-01-23,895.77
2004-01-27,923.12
2004-01-28,903.72
2004-01-29,899.45
2004-01-30,874.58
2004-02-03,821.66
2004-02-04,836.46
2004-02-05,838.31
2004-02-06,838.34
2004-02-09,858.83
2004-02-10,859.5
2004-02-11,862.04
2004-02-12,864.71
2004-02-13,887.37
2004-02-16,903.41
2004-02-17,900.25
2004-02-18,898.4
2004-02-19,871.21
2004-02-20,867.53
2004-02-23,849.47
2004-02-24,852.37
2004-02-25,840.14
2004-02-26,835.36
2004-02-27,832.85
2004-03-01,847.05
2004-03-03,848.26
2004-03-04,842.51
2004-03-05,848.31
2004-03-08,856.5
2004-03-09,847.37
2004-03-10,842.95
2004-03-11,834.34
2004-03-12,831.43
2004-03-15,812.77
2004-03-16,794.58
2004-03-17,798.92
2004-03-18,786.28
2004-03-19,782.35
2004-03-22,752.95
2004-03-23,745.38
2004-03-24,745.44
2004-03-25,760.71
2004-03-26,781.89
2004-03-29,794.85
2004-03-30,810.74
2004-03-31,819.09
2004-04-01,845.46
2004-04-02,854.49
2004-04-05,865.37
2004-04-06,855.96
2004-04-07,854.64
2004-04-08,861.43
2004-04-12,867.84
2004-04-13,875.83
2004-04-15,887.32
2004-04-16,901.11
2004-04-17,915.5
2004-04-19,900.6
2004-04-20,896.28
2004-04-21,911.43
2004-04-22,926.4
2004-04-23,930.93
2004-04-27,884.87
2004-04-28,888.71
2004-04-29,894.96
2004-04-30,892.56
2004-05-03,872.12
2004-05-04,897.77
2004-05-05,907.81
2004-05-06,924.88
2004-05-07,915.74
2004-05-10,903.1
2004-05-11,862.91
2004-05-12,875.51
2004-05-13,879.54
2004-05-14,810.25
2004-05-17,720.41
2004-05-18,773.54
2004-05-19,807.96
2004-05-20,814.84
2004-05-21,809.56
2004-05-24,838.94
2004-05-25,836.66
2004-05-26,841.39
2004-05-27,834.79
2004-05-28,802.85
2004-05-31,776.23
2004-06-01,784.47
2004-06-02,789
2004-06-03,779.76
2004-06-04,778.13
2004-06-07,787.21
2004-06-08,788.56
2004-06-09,794.92
2004-06-10,800.26
2004-06-11,794.68
2004-06-14,773.73
2004-06-15,780.51
2004-06-16,780.69
2004-06-17,783.03
2004-06-18,781.34
2004-06-21,773.46
2004-06-22,766.06
2004-06-23,746.83
2004-06-24,745.71
2004-06-25,762.68
2004-06-28,784.01
2004-06-29,788.76
2004-06-30,790.74
2004-07-01,801.24
2004-07-02,804.31
2004-07-05,799.66
2004-07-06,806.05
2004-07-07,810.26
2004-07-08,782.07
2004-07-09,800.4
2004-07-12,811.77
2004-07-13,809.92
2004-07-14,814.48
2004-07-15,836.62
2004-07-16,857.7
2004-07-19,869.15
2004-07-20,862.25
2004-07-21,870.66
2004-07-22,872.99
2004-07-23,881.28
2004-07-26,882.39
2004-07-27,871.77
2004-07-28,870.18
2004-07-29,878.29
2004-07-30,884.07
2004-08-02,885.43
2004-08-03,888.88
2004-08-04,893.22
2004-08-05,910.21
2004-08-06,906.47
2004-08-09,910.05
2004-08-10,920.08
2004-08-11,901
2004-08-12,891.97
2004-08-13,906.56
2004-08-16,910.81
2004-08-17,923.52
2004-08-18,919.2
2004-08-19,929.04
2004-08-20,922.9
2004-08-23,915.58
2004-08-24,928.32
2004-08-25,930.66
2004-08-26,944.7
2004-08-27,957.73
2004-08-30,986.37
2004-08-31,991.97
2004-09-01,1000.37
2004-09-02,990.28
2004-09-03,997.47
2004-09-06,1013.11
2004-09-07,1023.06
2004-09-08,1027.74
2004-09-09,1012.96
2004-09-10,1023.41
2004-09-13,1026.94
2004-09-14,1020.07
2004-09-15,1017.06
2004-09-16,1027.05
2004-09-17,1032.76
2004-09-20,1032.11
2004-09-21,1037.63
2004-09-22,1041.13
2004-09-23,1036.1
2004-09-24,1047.06
2004-09-27,1047.98
2004-09-28,1041.12
2004-09-29,1047.26
2004-09-30,1056.85
2004-10-01,1061.43
2004-10-04,1068.44
2004-10-05,1072.53
2004-10-06,1070.9
2004-10-07,1080.86
2004-10-08,1088.68
2004-10-09,1100.93
2004-10-11,1088.02
2004-10-12,1066.21
2004-10-14,1065.89
2004-10-15,1062.11
2004-10-18,1057.87
2004-10-19,1064.52
2004-10-20,1062.13
2004-10-21,1057.5
2004-10-25,1034.17
2004-10-26,1041.95
2004-10-27,1052.83
2004-10-28,1064.74
2004-10-29,1066.08
2004-11-01,1072.2
2004-11-02,1083.04
2004-11-03,1097.14
2004-11-04,1100.08
2004-11-05,1103.77
2004-11-08,1108.17
